URL	Contact
https://covid19-1.ireceptor.org	support@ireceptor.org
https://covid19-2.ireceptor.org	support@ireceptor.org
https://covid19-3.ireceptor.org	support@ireceptor.org
https://covid19-4.ireceptor.org	support@ireceptor.org
https://ipa1.ireceptor.org	support@ireceptor.org
https://ipa2.ireceptor.org	support@ireceptor.org
https://ipa3.ireceptor.org	support@ireceptor.org
https://ipa4.ireceptor.org	support@ireceptor.org
https://ipa5.ireceptor.org	support@ireceptor.org
https://ipa6.ireceptor.org	support@ireceptor.org
https://vdjserver.org	vdjserver@utsouthwestern.edu
https://scireptor.dkfz.de	
https://airr-seq.vdjbase.org	support@ireceptor.org
https://roche-airr.ireceptor.org	support@ireceptor.org
https://t1d-1.ireceptor.org	support@ireceptor.org
https://t1d-2.ireceptor.org	support@ireceptor.org
https://agschwab.uni-muenster.de	ireceptor@uni-muenster.de 
https://hpap.ireceptor.org	support@ireceptor.org
